year,age_band,sex,disease_class,disease,cases,source_file
2016,65세이상,male,제2급,유행성이하선염,40,2016_기본통계_성별_연령별.xlsx
2016,65세이상,female,제2급,유행성이하선염,84,2016_기본통계_성별_연령별.xlsx
2016,연령미상,all,제2급,유행성이하선염,0,2016_기본통계_성별_연령별.xlsx
2016,연령미상,male,제2급,유행성이하선염,0,2016_기본통계_성별_연령별.xlsx
2016,연령미상,female,제2급,유행성이하선염,0,2016_기본통계_성별_연령별.xlsx
2016,all,all,제3급,일본뇌염,28,2016_기본통계_성별_연령별.xlsx
2016,all,male,제3급,일본뇌염,15,2016_기본통계_성별_연령별.xlsx
2016,all,female,제3급,일본뇌염,13,2016_기본통계_성별_연령별.xlsx
2016,0~4세,all,제3급,일본뇌염,1,2016_기본통계_성별_연령별.xlsx
2016,0~4세,male,제3급,일본뇌염,1,2016_기본통계_성별_연령별.xlsx
2016,0~4세,female,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,5~9세,all,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,5~9세,male,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,5~9세,female,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,10~14세,all,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,10~14세,male,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,10~14세,female,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,15~19세,all,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,15~19세,male,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,15~19세,female,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,20~24세,all,제3급,일본뇌염,1,2016_기본통계_성별_연령별.xlsx
2016,20~24세,male,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,20~24세,female,제3급,일본뇌염,1,2016_기본통계_성별_연령별.xlsx
2016,25~29세,all,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,25~29세,male,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,25~29세,female,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,30~34세,all,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,30~34세,male,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,30~34세,female,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,35~39세,all,제3급,일본뇌염,1,2016_기본통계_성별_연령별.xlsx
2016,35~39세,male,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,35~39세,female,제3급,일본뇌염,1,2016_기본통계_성별_연령별.xlsx
2016,40~44세,all,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,40~44세,male,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,40~44세,female,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,45~49세,all,제3급,일본뇌염,5,2016_기본통계_성별_연령별.xlsx
2016,45~49세,male,제3급,일본뇌염,4,2016_기본통계_성별_연령별.xlsx
2016,45~49세,female,제3급,일본뇌염,1,2016_기본통계_성별_연령별.xlsx
2016,50~54세,all,제3급,일본뇌염,7,2016_기본통계_성별_연령별.xlsx
2016,50~54세,male,제3급,일본뇌염,4,2016_기본통계_성별_연령별.xlsx
2016,50~54세,female,제3급,일본뇌염,3,2016_기본통계_성별_연령별.xlsx
2016,55~59세,all,제3급,일본뇌염,5,2016_기본통계_성별_연령별.xlsx
2016,55~59세,male,제3급,일본뇌염,1,2016_기본통계_성별_연령별.xlsx
2016,55~59세,female,제3급,일본뇌염,4,2016_기본통계_성별_연령별.xlsx
2016,60~64세,all,제3급,일본뇌염,3,2016_기본통계_성별_연령별.xlsx
2016,60~64세,male,제3급,일본뇌염,1,2016_기본통계_성별_연령별.xlsx
2016,60~64세,female,제3급,일본뇌염,2,2016_기본통계_성별_연령별.xlsx
2016,65세이상,all,제3급,일본뇌염,5,2016_기본통계_성별_연령별.xlsx
2016,65세이상,male,제3급,일본뇌염,4,2016_기본통계_성별_연령별.xlsx
2016,65세이상,female,제3급,일본뇌염,1,2016_기본통계_성별_연령별.xlsx
2016,연령미상,all,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,연령미상,male,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,연령미상,female,제3급,일본뇌염,0,2016_기본통계_성별_연령별.xlsx
2016,all,all,제3급,말라리아,673,2016_기본통계_성별_연령별.xlsx
2016,all,male,제3급,말라리아,564,2016_기본통계_성별_연령별.xlsx
2016,all,female,제3급,말라리아,109,2016_기본통계_성별_연령별.xlsx
2016,0~4세,all,제3급,말라리아,0,2016_기본통계_성별_연령별.xlsx
2016,0~4세,male,제3급,말라리아,0,2016_기본통계_성별_연령별.xlsx
2016,0~4세,female,제3급,말라리아,0,2016_기본통계_성별_연령별.xlsx
2016,5~9세,all,제3급,말라리아,4,2016_기본통계_성별_연령별.xlsx
2016,5~9세,male,제3급,말라리아,3,2016_기본통계_성별_연령별.xlsx
2016,5~9세,female,제3급,말라리아,1,2016_기본통계_성별_연령별.xlsx
2016,10~14세,all,제3급,말라리아,3,2016_기본통계_성별_연령별.xlsx
2016,10~14세,male,제3급,말라리아,2,2016_기본통계_성별_연령별.xlsx
2016,10~14세,female,제3급,말라리아,1,2016_기본통계_성별_연령별.xlsx
2016,15~19세,all,제3급,말라리아,13,2016_기본통계_성별_연령별.xlsx
2016,15~19세,male,제3급,말라리아,10,2016_기본통계_성별_연령별.xlsx
2016,15~19세,female,제3급,말라리아,3,2016_기본통계_성별_연령별.xlsx
2016,20~24세,all,제3급,말라리아,299,2016_기본통계_성별_연령별.xlsx
2016,20~24세,male,제3급,말라리아,286,2016_기본통계_성별_연령별.xlsx
2016,20~24세,female,제3급,말라리아,13,2016_기본통계_성별_연령별.xlsx
2016,25~29세,all,제3급,말라리아,48,2016_기본통계_성별_연령별.xlsx
2016,25~29세,male,제3급,말라리아,40,2016_기본통계_성별_연령별.xlsx
2016,25~29세,female,제3급,말라리아,8,2016_기본통계_성별_연령별.xlsx
2016,30~34세,all,제3급,말라리아,37,2016_기본통계_성별_연령별.xlsx
2016,30~34세,male,제3급,말라리아,35,2016_기본통계_성별_연령별.xlsx
2016,30~34세,female,제3급,말라리아,2,2016_기본통계_성별_연령별.xlsx
2016,35~39세,all,제3급,말라리아,39,2016_기본통계_성별_연령별.xlsx
2016,35~39세,male,제3급,말라리아,34,2016_기본통계_성별_연령별.xlsx
2016,35~39세,female,제3급,말라리아,5,2016_기본통계_성별_연령별.xlsx
2016,40~44세,all,제3급,말라리아,40,2016_기본통계_성별_연령별.xlsx
2016,40~44세,male,제3급,말라리아,31,2016_기본통계_성별_연령별.xlsx
2016,40~44세,female,제3급,말라리아,9,2016_기본통계_성별_연령별.xlsx
2016,45~49세,all,제3급,말라리아,54,2016_기본통계_성별_연령별.xlsx
2016,45~49세,male,제3급,말라리아,40,2016_기본통계_성별_연령별.xlsx
2016,45~49세,female,제3급,말라리아,14,2016_기본통계_성별_연령별.xlsx
2016,50~54세,all,제3급,말라리아,50,2016_기본통계_성별_연령별.xlsx
2016,50~54세,male,제3급,말라리아,33,2016_기본통계_성별_연령별.xlsx
2016,50~54세,female,제3급,말라리아,17,2016_기본통계_성별_연령별.xlsx
2016,55~59세,all,제3급,말라리아,30,2016_기본통계_성별_연령별.xlsx
2016,55~59세,male,제3급,말라리아,19,2016_기본통계_성별_연령별.xlsx
2016,55~59세,female,제3급,말라리아,11,2016_기본통계_성별_연령별.xlsx
2016,60~64세,all,제3급,말라리아,23,2016_기본통계_성별_연령별.xlsx
2016,60~64세,male,제3급,말라리아,15,2016_기본통계_성별_연령별.xlsx
2016,60~64세,female,제3급,말라리아,8,2016_기본통계_성별_연령별.xlsx
2016,65세이상,all,제3급,말라리아,33,2016_기본통계_성별_연령별.xlsx
2016,65세이상,male,제3급,말라리아,16,2016_기본통계_성별_연령별.xlsx
2016,65세이상,female,제3급,말라리아,17,2016_기본통계_성별_연령별.xlsx
2016,연령미상,all,제3급,말라리아,0,2016_기본통계_성별_연령별.xlsx
2016,연령미상,male,제3급,말라리아,0,2016_기본통계_성별_연령별.xlsx
2016,연령미상,female,제3급,말라리아,0,2016_기본통계_성별_연령별.xlsx
2016,all,all,제3급,쯔쯔가무시증,11105,2016_기본통계_성별_연령별.xlsx
2016,all,male,제3급,쯔쯔가무시증,4509,2016_기본통계_성별_연령별.xlsx
2016,all,female,제3급,쯔쯔가무시증,6596,2016_기본통계_성별_연령별.xlsx
2016,0~4세,all,제3급,쯔쯔가무시증,41,2016_기본통계_성별_연령별.xlsx
2016,0~4세,male,제3급,쯔쯔가무시증,16,2016_기본통계_성별_연령별.xlsx
2016,0~4세,female,제3급,쯔쯔가무시증,25,2016_기본통계_성별_연령별.xlsx
2016,5~9세,all,제3급,쯔쯔가무시증,36,2016_기본통계_성별_연령별.xlsx
2016,5~9세,male,제3급,쯔쯔가무시증,22,2016_기본통계_성별_연령별.xlsx
2016,5~9세,female,제3급,쯔쯔가무시증,14,2016_기본통계_성별_연령별.xlsx
2016,10~14세,all,제3급,쯔쯔가무시증,37,2016_기본통계_성별_연령별.xlsx
2016,10~14세,male,제3급,쯔쯔가무시증,22,2016_기본통계_성별_연령별.xlsx
2016,10~14세,female,제3급,쯔쯔가무시증,15,2016_기본통계_성별_연령별.xlsx
2016,15~19세,all,제3급,쯔쯔가무시증,71,2016_기본통계_성별_연령별.xlsx
2016,15~19세,male,제3급,쯔쯔가무시증,45,2016_기본통계_성별_연령별.xlsx
2016,15~19세,female,제3급,쯔쯔가무시증,26,2016_기본통계_성별_연령별.xlsx
2016,20~24세,all,제3급,쯔쯔가무시증,143,2016_기본통계_성별_연령별.xlsx
2016,20~24세,male,제3급,쯔쯔가무시증,103,2016_기본통계_성별_연령별.xlsx
2016,20~24세,female,제3급,쯔쯔가무시증,40,2016_기본통계_성별_연령별.xlsx
2016,25~29세,all,제3급,쯔쯔가무시증,133,2016_기본통계_성별_연령별.xlsx
2016,25~29세,male,제3급,쯔쯔가무시증,75,2016_기본통계_성별_연령별.xlsx
2016,25~29세,female,제3급,쯔쯔가무시증,58,2016_기본통계_성별_연령별.xlsx
2016,30~34세,all,제3급,쯔쯔가무시증,191,2016_기본통계_성별_연령별.xlsx
2016,30~34세,male,제3급,쯔쯔가무시증,110,2016_기본통계_성별_연령별.xlsx
2016,30~34세,female,제3급,쯔쯔가무시증,81,2016_기본통계_성별_연령별.xlsx
2016,35~39세,all,제3급,쯔쯔가무시증,210,2016_기본통계_성별_연령별.xlsx
2016,35~39세,male,제3급,쯔쯔가무시증,126,2016_기본통계_성별_연령별.xlsx
2016,35~39세,female,제3급,쯔쯔가무시증,84,2016_기본통계_성별_연령별.xlsx
2016,40~44세,all,제3급,쯔쯔가무시증,292,2016_기본통계_성별_연령별.xlsx
2016,40~44세,male,제3급,쯔쯔가무시증,164,2016_기본통계_성별_연령별.xlsx
2016,40~44세,female,제3급,쯔쯔가무시증,128,2016_기본통계_성별_연령별.xlsx
2016,45~49세,all,제3급,쯔쯔가무시증,547,2016_기본통계_성별_연령별.xlsx
2016,45~49세,male,제3급,쯔쯔가무시증,263,2016_기본통계_성별_연령별.xlsx
2016,45~49세,female,제3급,쯔쯔가무시증,284,2016_기본통계_성별_연령별.xlsx
2016,50~54세,all,제3급,쯔쯔가무시증,892,2016_기본통계_성별_연령별.xlsx
2016,50~54세,male,제3급,쯔쯔가무시증,410,2016_기본통계_성별_연령별.xlsx
2016,50~54세,female,제3급,쯔쯔가무시증,482,2016_기본통계_성별_연령별.xlsx
2016,55~59세,all,제3급,쯔쯔가무시증,1413,2016_기본통계_성별_연령별.xlsx
2016,55~59세,male,제3급,쯔쯔가무시증,561,2016_기본통계_성별_연령별.xlsx
2016,55~59세,female,제3급,쯔쯔가무시증,852,2016_기본통계_성별_연령별.xlsx
2016,60~64세,all,제3급,쯔쯔가무시증,1449,2016_기본통계_성별_연령별.xlsx
2016,60~64세,male,제3급,쯔쯔가무시증,540,2016_기본통계_성별_연령별.xlsx
2016,60~64세,female,제3급,쯔쯔가무시증,909,2016_기본통계_성별_연령별.xlsx
2016,65세이상,all,제3급,쯔쯔가무시증,5650,2016_기본통계_성별_연령별.xlsx
