region,disease,region_disease_cases_all,peak_month_region,seasonality_region,rq,rate_per_100k,seasonality_defined
경북,유행성이하선염,5019.0,5.0,0.12333134090456266,0.947951502540025,23.785850006827946,True
경북,백일해,148.0,2.0,0.13513513513513514,1.2089998519747107,0.7013958559494992,True
경북,A형간염,896.0,3.0,0.10491071428571429,0.40695369573049994,4.246288425207778,True
경북,일본뇌염,6.0,9.0,0.5,0.8097439886959,0.028434967133087803,True
경북,신증후군출혈열,262.0,11.0,0.25190839694656486,1.557562007011263,1.2416602314781673,True
경북,쯔쯔가무시증,3679.0,11.0,0.6341397118782278,1.3099755441817034,17.43537401377167,True
광주,수두,15148.0,12.0,0.16662265645629787,1.3070163421389656,131.0915932409943,True
광주,말라리아,17.0,6.0,0.4117647058823529,0.16265564024470813,0.14711889920101023,True
광주,유행성이하선염,4469.0,10.0,0.10807786976952338,1.541336075529817,38.67496238407734,True
광주,백일해,128.0,11.0,0.1875,1.9093808698033201,1.1077187704546654,True
광주,A형간염,726.0,3.0,0.1184573002754821,0.6021319512049749,6.282842401172555,True
광주,일본뇌염,8.0,8.0,0.375,1.9715351949922306,0.06923242315341659,True
광주,신증후군출혈열,57.0,11.0,0.2982456140350877,0.6187810064429576,0.4932810149680931,True
광주,쯔쯔가무시증,1517.0,11.0,0.48450889914304546,0.9863636203385523,13.12819824046662,True
대구,수두,21166.0,12.0,0.1324766134366437,1.0910356486304007,109.42908428185056,True
대구,말라리아,33.0,7.0,0.3333333333333333,0.18862904842429845,0.17061134750548373,True
대구,유행성이하선염,4106.0,5.0,0.1259132976132489,0.8460194773341612,21.228187662348976,True
대구,백일해,83.0,10.0,0.14457831325301204,0.7396650829897335,0.4291133891804591,True
대구,A형간염,702.0,5.0,0.12535612535612536,0.3478296440415307,3.629368665116654,True
대구,일본뇌염,10.0,10.0,0.6,1.472275127537296,0.05170040833499507,True
대구,신증후군출혈열,40.0,11.0,0.225,0.25941586829656854,0.20680163333998028,True
대구,쯔쯔가무시증,1199.0,11.0,0.6538782318598833,0.46574164865622203,6.19887895936591,True
대전,수두,11498.0,5.0,0.11871629848669334,0.9756063722385431,97.85171737295627,True
대전,말라리아,24.0,5.0,0.20833333333333334,0.22581773677991263,0.20424780109157684,True
대전,유행성이하선염,2854.0,5.0,0.13594954449894883,0.9679826209640707,24.28846767980668,True
대전,백일해,48.0,5.0,0.125,0.70412609139697,0.40849560218315367,True
대전,A형간염,3685.0,9.0,0.14626865671641792,3.0055167116228305,31.360547792602524,True
대전,일본뇌염,3.0,8.0,0.3333333333333333,0.7270468626012986,0.025530975136447105,True
대전,신증후군출혈열,42.0,11.0,0.2619047619047619,0.44837151269630404,0.35743365191025944,True
대전,쯔쯔가무시증,1484.0,11.0,0.5303234501347709,0.9488814767001171,12.629322367495833,True
부산,수두,21470.0,5.0,0.124033535165347,0.7916632837768963,79.40252760028346,True
부산,말라리아,38.0,6.0,0.2894736842105263,0.15537693148903572,0.1405354470801477,True
부산,유행성이하선염,5705.0,5.0,0.12567922874671342,0.8408632560242416,21.098808568216914,True
부산,백일해,176.0,8.0,0.24431818181818182,1.1219616252421265,0.650901018055421,True
부산,A형간염,1333.0,8.0,0.14703675918979744,0.47246314808145123,4.929835551522023,True
부산,일본뇌염,0.0,,,,,False
부산,신증후군출혈열,107.0,11.0,0.38317757009345793,0.4963964125640643,0.3957182325677843,True
부산,쯔쯔가무시증,3791.0,11.0,0.6816143497757847,1.0533870798787717,14.02025999686421,True
서울,수두,49217.0,11.0,0.12816709673486804,0.6417971581594974,64.371201252911,True
서울,말라리아,470.0,7.0,0.2872340425531915,0.6796338393308791,0.6147157402699915,True
서울,유행성이하선염,12062.0,5.0,0.12444039131155696,0.6287286391275553,15.775960125822634,True
서울,백일해,293.0,11.0,0.15017064846416384,0.6605522073935244,0.3832164082959734,True
서울,A형간염,8256.0,5.0,0.12318313953488372,1.0348601581277448,10.798070535466065,True
서울,일본뇌염,40.0,10.0,0.45,1.489812003592335,0.052316233214467364,True
서울,신증후군출혈열,107.0,12.0,0.2523364485981308,0.1755508056848478,0.1399459238487002,True
서울,쯔쯔가무시증,1474.0,11.0,0.514246947082768,0.14484579079613707,1.9278531939531223,True
세종,수두,4475.0,5.0,0.1383240223463687,1.729277858980665,173.4437301060526,True
세종,말라리아,3.0,5.0,0.3333333333333333,0.1285545583887722,0.11627512632807994,True
세종,유행성이하선염,645.0,10.0,0.11007751937984496,0.9963059485368494,24.999152160537193,True
세종,백일해,35.0,1.0,0.2857142857142857,2.338280789861071,1.356543140494266,True
세종,A형간염,571.0,8.0,0.19089316987740806,2.120982965500599,22.131032377777885,True
세종,일본뇌염,1.0,8.0,1.0,1.103724206166565,0.03875837544269332,True
세종,신증후군출혈열,15.0,10.0,0.3333333333333333,0.7292885547016768,0.5813756316403998,True
세종,쯔쯔가무시증,344.0,11.0,0.5552325581395349,1.0017421036784657,13.332881152286502,True
울산,수두,10855.0,5.0,0.12049746660525104,1.1886390557649684,119.21854577097058,True
울산,말라리아,20.0,7.0,0.35,0.24285365755424854,0.2196564638801853,True
울산,유행성이하선염,3284.0,5.0,0.11875761266747868,1.4374229813754138,36.067591369126426,True
